sector_id,sector_name,backward_linkage,forward_linkage,is_key_sector,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
117,Trade,1.8595936940327158,15.542086661039122,False,1.4384615384615385,0.1357025788181625,0.6093032621828433,0.1465679411084956,0.014297996043508922
118,Hotels & Restaurant,2.259765435443744,2.3779330996265577,False,0.46153846153846156,0.032069306432260206,0.47307692307692306,0.04514233482601629,0.012478522909032624
119,Financial services,1.5003884105387557,7.611910473856289,False,1.1076923076923078,0.020432632810959556,0.4655076923076923,0.05221672654766879,0.004071458150699323
120,Insurance services,1.5688445819821224,1.4808075369700435,False,0.24615384615384617,0.008238084152142193,0.4655076923076923,0.047374648447660817,0.005775395278931335
121,Ownership of dwellings,1.076183793573646,1.0,False,0.015384615384615385,0.0,0.3468531468531469,0.005042493283774098,0.001397080963380461
122,Education and research,1.5773253545863097,1.7474012680091122,False,0.30000000000000004,0.0011376523266832795,0.4581768625075711,0.045839334095215324,0.003958601233782008
123,Medical and Health,2.0686059370790204,1.0078938193223494,False,0.1076923076923077,4.6958855098389984e-05,0.4247332959011791,0.02923164269811351,0.005075876127563021
124,Legal services,1.993721126591162,1.5312599835672984,False,0.3769230769230769,0.0053911419609013024,0.5037962037962037,0.07327847719597394,0.006727582687336262
125,Computer related services,1.5045568463135175,1.0665414990472937,False,0.16153846153846155,0.00014199530890956214,0.45459735576923077,0.040448882537645246,0.0037787874561368597
126,Other Business services,1.6426244970827595,9.695520417416061,False,0.8461538461538463,0.015362451342535494,0.46365307998774136,0.05073302369419305,0.0051429203370666554
127,Real estate services,1.9678685447228899,2.6536283776641056,False,0.30000000000000004,0.002843043503141933,0.49104186952288215,0.0670298768377632,0.006710164093952419
128,"Renting of machinery &
 equipment",1.8890581616073112,1.4665855451025438,False,0.3615384615384616,0.010631877850801394,0.5104251012145749,0.10151184756178534,0.010700880861895029
129,"Community, social and
 personal services",1.884343942563037,1.1138517782650017,False,0.2076923076923077,0.0004430478495072489,0.4952209492635024,0.06858345465381696,0.00548695381599513
130,Other services,1.7231940705019686,1.121708106935953,False,0.23076923076923078,0.0006765121734212899,0.47307692307692306,0.05935983967302752,0.005592487171254576
131,"Public administration and
 defence",1.6786228130128569,1.0,False,0.2076923076923077,0.0,0.4946185501741057,0.054556641086646755,0.01711887886331383
