source_sector,target_sector,input_coefficient,input_value
Forestry and Logging,Other chemicals,0.005550791037271648,63015.0
Forestry and Logging,Drugs and medicine,0.0017388504602059457,40062.0
Forestry and Logging,Structural clay products,0.002743774395601604,23114.0
Forestry and Logging,"Other non-metallic mineral
 prods.",0.0021368342054421297,28040.0
Forestry and Logging,"Hand tools, hardware",0.0046356092524460395,14026.0
Forestry and Logging,Machine tools,0.0033840122612709958,13188.0
Forestry and Logging,"Electronic
 equipments(incl.TV)",0.0018524789772576974,7073.0
Forestry and Logging,"Other transport
 equipments",0.0010010177421624676,2454.0
Forestry and Logging,"Miscellaneous
 manufacturing",0.010867039486083044,99005.0
Forestry and Logging,"Construction and
 construction services",0.041834329882042574,11266402.0
Forestry and Logging,Trade,0.0015545008486482653,333825.0
Fishing & Aquaculture,Fishing & Aquaculture,0.018818566773125534,289311.0
Fishing & Aquaculture,"Edible oils other than
 vanaspati",0.001507174915474765,10708.0
Fishing & Aquaculture,"Miscellaneous food
 products",0.038043326030305094,1604016.0
Fishing & Aquaculture,"Grain Mill products, starch and starch products",0.006710236575529059,186312.0
Fishing & Aquaculture,Beverages,0.00195654846168138,13195.0
Fishing & Aquaculture,Inorganic heavy chemicals,0.004705592407120946,89738.0
Fishing & Aquaculture,Organic heavy chemicals,0.005684276235399803,177275.0
Fishing & Aquaculture,Pesticides,0.001426267897465326,4772.0
Fishing & Aquaculture,"Paints, varnishes and
 lacquers",0.0017618120059672252,10662.0
Fishing & Aquaculture,"Soaps, cosmetics &
 glycerin",0.0010650641339179751,9004.0
Fishing & Aquaculture,Other chemicals,0.0049405255400691095,56087.0
Fishing & Aquaculture,Drugs and medicine,0.013383358451943042,308344.0
Fishing & Aquaculture,Trade,0.0010859130814116064,233197.0
Fishing & Aquaculture,Hotels & Restaurant,0.003543278126762552,131600.0
Coal and Lignite,Coal and Lignite,0.0013117580326755935,14685.0
Coal and Lignite,Bauxite,0.03306884765625,13545.0
Coal and Lignite,Other Metallic minerals,0.0012159013022618231,2661.0
Coal and Lignite,"Hydrogenated
 oil(vanaspati)",0.004347022044106941,5571.0
Coal and Lignite,"Edible oils other than
 vanaspati",0.004071117599476289,28924.0
Coal and Lignite,Tea and coffee processing,0.00444023707205794,14606.0
Coal and Lignite,"Miscellaneous food
 products",0.0015911628417179806,67088.0
Coal and Lignite,Beverages,0.0017428776520350847,11754.0
Coal and Lignite,Tobacco Products,0.0019410456153064006,11893.0
Coal and Lignite,"Khadi, cotton
 textiles(handlooms)",0.0024753393791685768,4736.0
Coal and Lignite,Cotton textiles,0.010335700448265697,183373.0
Coal and Lignite,Woolen textiles,0.007466141098205562,23290.0
Coal and Lignite,Silk textiles,0.0050134246068507995,28076.0
Coal and Lignite,"Art silk, synthetic fiber
 textiles",0.020882309458977406,313716.0
Coal and Lignite,"Jute, hemp, mesta textiles",0.027625402133017216,43159.0
Coal and Lignite,Carpet weaving,0.007927748897898712,11601.0
Coal and Lignite,"Miscellaneous textile
 products",0.00912713309064176,80649.0
Coal and Lignite,Ready made garments,0.0045768314202078875,73880.0
Coal and Lignite,"Wood and wood products
 except furniture",0.0013286649313081994,9789.0
Coal and Lignite,"Paper, Paper products and
 newsprint",0.03946851280052206,479916.0
Coal and Lignite,"Publishing, printing and
 allied activities",0.0014370760660084067,5210.0
Coal and Lignite,"Leather and leather
 products",0.0013876238409970042,3993.0
Coal and Lignite,Rubber products,0.005166331328076308,61009.0
Coal and Lignite,Plastic products,0.004203984412027004,91833.0
Coal and Lignite,Petroleum products,0.011929840047016926,1351007.0
Coal and Lignite,Coal tar products,0.11004782871651332,376653.0
Coal and Lignite,Inorganic heavy chemicals,0.034126635379250675,650812.0
Coal and Lignite,Organic heavy chemicals,0.01078170365590587,336248.0
Coal and Lignite,Fertilizers,0.010363813499358207,11659.0
Coal and Lignite,Pesticides,0.00893868273459671,29907.0
Coal and Lignite,"Paints, varnishes and
 lacquers",0.010519151236903732,63659.0
Coal and Lignite,"Soaps, cosmetics &
 glycerin",0.004137355421151601,34977.0
Coal and Lignite,"Synthetic fibers, resin",0.00180560417871743,16953.0
Coal and Lignite,Other chemicals,0.004196368074658161,47639.0
Coal and Lignite,Drugs and medicine,0.0011793296853441105,27171.0
Coal and Lignite,Structural clay products,0.04377005095581021,368726.0
Coal and Lignite,Cement,0.26593099986138674,2799107.0
Coal and Lignite,"Other non-metallic mineral
 prods.",0.0462543826439071,606960.0
Coal and Lignite,"Iron, steel and ferro alloys",0.1528718596913861,1064071.0
Coal and Lignite,"Iron and steel casting &
 forging",0.08733974573853469,1693583.0
Coal and Lignite,Iron and steel foundries,0.05878197688591589,1798843.0
Coal and Lignite,"Non ferrous basic metals
 (including alloys)",0.039300822091515954,1021024.0
Coal and Lignite,"Hand tools, hardware",0.0023230926447628127,7029.0
Coal and Lignite,"Miscellaneous metal
 products",0.023412423054531742,452625.0
Coal and Lignite,"Tractors and agri.
 implements",0.0037096415617124704,19890.0
Coal and Lignite,Industrial machinery(F & T),0.00118008957213036,1523.0
Coal and Lignite,Machine tools,0.003039657965348515,11846.0
Coal and Lignite,"Other non-electrical
 machinery",0.0034870686504450575,80812.0
Coal and Lignite,"Medical, precision&optical
 instru.s",0.002135171669240033,10395.0
Coal and Lignite,Jems & jewelry,0.004865226458725339,88199.0
Coal and Lignite,"Miscellaneous
 manufacturing",0.005649916574987512,51474.0
Coal and Lignite,Electricity,0.05073539407053676,3468055.0
Coal and Lignite,Water Supply,0.03729439902637583,410504.0
Coal and Lignite,Railway Transport,0.015836349081382196,239368.0
Coal and Lignite,Trade,0.004836026179410143,1038524.0
Crude petroleum,Petroleum products,0.42270248100887037,47869377.0
Crude petroleum,Coal tar products,0.040543967650607866,138767.0
Crude petroleum,Inorganic heavy chemicals,0.029063475000655464,554255.0
Crude petroleum,Organic heavy chemicals,0.24217084938333738,7552560.0
Crude petroleum,Fertilizers,0.17139715477362993,192817.0
Crude petroleum,"Paints, varnishes and
 lacquers",0.016203151366453592,98057.0
Crude petroleum,"Synthetic fibers, resin",0.038106630230093384,357787.0
Crude petroleum,Other chemicals,0.04054257606032749,460257.0
Crude petroleum,"Miscellaneous
 manufacturing",0.0013546891706200386,12342.0
